,submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,posterior_confidence,prior_confidence,posterior_sliderResponse,prior_sliderResponse,relevance_sliderResponse,first_order_belief_change,second_order_belief_change,entropy_change,kl_utility,kl,bayes_factor_utility,beta_kl_utility,beta_kl,beta_entropy_change,beta_bayes_factor_utility_1,pure_second_order_belief_change,entropy_change_scaled,kl_scaled,beta_entropy_change_scaled,beta_kl_scaled,beta_bayes_factor_utility_1_scaled,pure_second_order_belief_change_scaled,prior_beta_for_beta_kl_a,prior_beta_for_beta_kl_b,posterior_beta_for_beta_kl_a,posterior_beta_for_beta_kl_b,prior_beta_for_beta_entropy_change_a,prior_beta_for_beta_entropy_change_b,posterior_beta_for_beta_entropy_change_a,posterior_beta_for_beta_entropy_change_b,prior_beta_for_beta_bayes_factor_utility_1_a,prior_beta_for_beta_bayes_factor_utility_1_b,posterior_beta_for_beta_bayes_factor_utility_1_a,posterior_beta_for_beta_bayes_factor_utility_1_b,prior_beta_for_pure_second_order_belief_change_a,prior_beta_for_pure_second_order_belief_change_b,posterior_beta_for_pure_second_order_belief_change_a,posterior_beta_for_pure_second_order_belief_change_b,prior_beta_for_kl_a,prior_beta_for_kl_b,posterior_beta_for_kl_a,posterior_beta_for_kl_b,prior_beta_for_entropy_change_a,prior_beta_for_entropy_change_b,posterior_beta_for_entropy_change_a,posterior_beta_for_entropy_change_b
12,5795,helpful,4,high_certainty,positive,negative,1.0,0.75,4,4,0.55,0.46,0.59,0.09,0,0.0026039848,0.0231510882,0.023423284000000003,0.303030303,0.37603607380000004,0.4716627229,0.0017488942,6.039082879,1e-10,0.0181947494,0.2744019276,0.0013638562,0.376958165,0.5460079873,0.0,12.4658105056,14.4598645065,14.7091212566,12.2165537554,17.9872938288,20.941605799,21.3108947953,17.6180048325,1070.5207477731,1256.5243560814,1279.77480712,1047.2702967345,3.7820831984,4.2659237546,4.3264038242,3.7216031289,14.8,17.2,17.5,14.5,14.8,17.2,17.5,14.5
13,5795,helpful,5,high_certainty,negative,positive,1.0,0.75,4,5,0.38,0.5,0.64,0.12,1,0.041957977800000004,0.0410899247,0.041957977800000004,0.3870967742,0.850847444,1.9027856311,0.3353331395,9.1855700138,4.2207963882,0.2561171244,0.4370551411,0.2302460836,0.8517346605,0.6991408427,0.5271490836,25.5009537015,25.5009537015,10.4717565046,16.4539185075,40.8679377203,40.8679377203,15.0329818586,23.8959177692,6040.6921006135,6040.6921006135,884.5171394647,1442.5279643898,6.1344016706,6.1344016706,3.2982426421,4.7497643109,32.0,32.0,12.4,19.6,32.0,32.0,12.4,19.6
14,5795,helpful,6,low_certainty,negative,negative,1.0,0.75,5,6,0.17,0.04,0.59,0.13,1,0.4154125897,0.1652579595,0.18063253540000002,0.7965686275,0.9999705734000001,10.4336111805,1.0031472456,10.8325537521,6.4344030928,0.9465672484000001,0.9157179578,0.5428882822000001,0.9999715205,0.7574322074000001,0.6807487646,4.7842590131,91.822216315,9.3303242585,41.6715831445,7.7845694052,163.8296657237,14.5550988249,67.1807766156,2509.8502132717,60213.4051185196,2054.4953142086,10026.8888870184,1.6681282574,17.0350781766,2.745696568,9.5231067732,6.04,121.96,11.54,52.46,6.04,121.96,11.54,52.46
15,5795,helpful,7,non_answer,,neutral,1.0,0.75,4,4,0.5,0.38,0.0,0.12,0,0.041957977800000004,0.0418915261,0.042794277900000004,0.3870967742,0.5698009824,0.8435073458000001,0.028560753100000003,6.3261688378,0.0,0.2561171244,0.4434653865,0.0220414536,0.5709372694,0.5627347468,0.0,10.4717565046,16.4539185075,13.462837506,13.462837506,15.0329818586,23.8959177692,19.4644498139,19.4644498139,884.5171394647,1442.5279643898,1163.5225519272,1163.5225519272,3.2982426421,4.7497643109,4.0240034765,4.0240034765,12.4,19.6,16.0,16.0,12.4,19.6,16.0,16.0
16,5795,helpful,9,low_certainty,positive,neutral,1.0,0.75,6,6,0.84,0.88,0.73,0.04,0,0.1049486894,0.0099799419,0.0100300754,0.2840909091,0.5458563888,0.7893418067,0.11858783190000001,8.5209263,1e-10,0.5229138485,0.1283367431,0.08838958520000001,0.5469789885,0.6718234837,0.0,84.2536982887,12.3527770394,80.4694392756,16.1370360525,150.2605269134,21.3537082155,143.4759575082,28.1382776206,55195.7046919763,7527.550639815,52686.8544787046,10036.4008530866,15.6988216619,3.0043847721,15.0306934045,3.6725130294,111.88,16.12,106.84,21.16,111.88,16.12,106.84,21.16
17,5795,helpful,10,exhaustive,positive,neutral,1.0,0.75,7,4,1.0,0.58,0.96,0.42,3,0.981453895,0.5442793171,0.7858751946,1.0,1.0,59.8102477724,3.8692533538,12.6924079533,20.4641405796,0.9990129986,0.9999788060000001,0.9511721682000001,1.0,0.8097982992,0.9735192328000001,15.456891507,11.4687835051,181.9894517781,1.0,22.4187617841,16.5101378437,359.3245886843,1.0,1349.5261602356,977.5189436189,325641.053417812,1.0,4.5078440327,3.5401629203000002,27.5121475326,1.0,18.4,13.6,255.0,1.0,18.4,13.6,255.0,1.0
18,5795,helpful,11,exhaustive,negative,negative,1.0,0.75,7,4,0.0,0.31,1.0,0.31,3,0.8931734584000001,0.4145249635,0.535331733,1.0,1.0,41.3980532773,3.8068124159,12.6908341407,20.4641405796,0.9981606060000001,0.9993449809,0.9487340085,1.0,0.8097591529,0.9735192328000001,8.7269592537,18.1987157583,1.0,181.9894517781,12.4479588846,26.4809407432,1.0,359.3245886843,721.7639821949,1605.2811216596,1.0,325641.053417812,2.8748821554,5.1731247976,1.0,27.5121475326,10.3,21.7,1.0,255.0,10.3,21.7,1.0,255.0
19,5795,helpful,12,non_answer,,positive,1.0,0.75,6,6,0.72,0.72,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1166622362,27.4898130919,69.1166622362,27.4898130919,123.1222492928,48.4919858361,123.1222492928,48.4919858361,45160.3038388897,17562.9514929016,45160.3038388897,17562.9514929016,13.0263086324,5.6768978015,13.0263086324,5.6768978015,91.72,36.28,91.72,36.28,91.72,36.28,91.72,36.28
20,5796,relevant,2,low_certainty,negative,negative,1.0,0.5,7,4,0.0,0.19,0.99,0.19,3,0.7014714599,0.26214369860000003,0.30400618690000003,1.0,0.9999999999,23.2053713546,3.65041129,12.6891144245,20.4641405796,0.9928918241,0.9844402578,0.9420790836,0.9999999999,0.8097163684,0.9735192328000001,5.7358782523,21.1897967598,1.0,181.9894517781,8.0164909293,30.9124086985,1.0,359.3245886843,442.7585697323,1884.2865341221,1.0,325641.053417812,2.1491213211,5.8988856319,1.0,27.5121475326,6.7,25.3,1.0,255.0,6.7,25.3,1.0,255.0
21,5796,relevant,3,exhaustive,negative,neutral,1.0,0.5,7,7,0.0,0.53,0.98,0.53,0,0.9974015886,0.663537083,1.0892673381,1.0,1.0,650.7972730336,0.0,12.7518197249,0.0,0.9991179803,0.9999996674,0.0,1.0,0.8112702008,6.661338148e-16,96.9244094424,86.0650423357,1.0,181.9894517781,190.9120320027,169.4125566816,1.0,359.3245886843,172590.2283114404,153051.8251063716,1.0,325641.053417812,15.0514381923,13.4607093403,1.0,27.5121475326,135.62,120.38,1.0,255.0,135.62,120.38,1.0,255.0
22,5796,relevant,4,exhaustive,positive,negative,1.0,0.5,7,5,0.99,0.45,0.97,0.54,2,0.9119813181,0.6564129887,1.0683148914,0.9917355372000001,1.0,110.4287285504,3.5129117021000003,12.6771263194,16.2433441914,0.9983890722000001,0.9999995569000001,0.9355184381,1.0,0.8094178506,0.9439976401,23.0508583314,27.9510490717,180.1795572603,2.8098945178,36.8811439482,44.8547314923,355.7413427975,4.5832458868,5436.7228905522,6644.6613106749,322384.6528836339,3257.4005341781,5.6209615035,6.6478418376,27.2470260572,1.2651214753,28.9,35.1,252.46,3.54,28.9,35.1,252.46,3.54
23,5796,relevant,5,exhaustive,negative,negative,1.0,0.5,7,7,0.01,0.0,1.0,0.01,0,0.08079313590000001,1.0,,1.0,0.7986601951000001,1.6027612269,0.0,8.7816784463,1e-10,0.43431756590000004,1.0,0.0,0.7996694750000001,0.6828244366,0.0,1.0,181.9894517781,2.8098945178,180.1795572603,1.0,359.3245886843,4.5832458868,355.7413427975,1.0,325641.053417812,3257.4005341781,322384.6528836339,1.0,27.5121475326,1.2651214753,27.2470260572,1.0,255.0,3.54,252.46,1.0,255.0,3.54,252.46
24,5796,relevant,6,high_certainty,negative,neutral,1.0,0.5,7,5,0.07,0.34,0.73,0.27,2,0.5588950541000001,0.2595695769,0.300523609,0.8538899431,0.9999999974,19.7848275056,3.4647906151,12.6557513317,16.2433441914,0.9805734598,0.9836802267,0.933050966,0.9999999976,0.8088844261,0.9439976401,17.660648517,33.341258886,13.6692616245,169.3201901536,28.1101976498,53.6256777907,26.0827212079,334.2418674764,4107.9906284172,7973.3935728098,22795.8037392468,302846.2496785651,4.491393136,7.7774102052,2.8558503272999998,25.6562972053,22.08,41.92,18.78,237.22,22.08,41.92,18.78,237.22
25,5796,relevant,8,low_certainty,negative,neutral,1.0,0.5,4,5,0.23,0.51,0.54,0.28,1,0.2217001382,0.2116873293,0.2378604776,0.7130124777,0.9999819774,10.9238847939,0.1991334867,9.1855700138,4.2207963882,0.7905656497,0.9615065557,0.143925681,0.9999825843000001,0.6991408427,0.5271490836,25.9909727755,25.0109346275,6.7329052528,20.1927697593,41.6652964747,40.0705789658,9.4936469144,29.4352527134,6161.4859426258,5919.8982586012,535.7603738865,1791.2847299679,6.237089704,6.0317136372,2.3910415992000003,5.6569653538,32.62,31.38,7.9,24.1,32.62,31.38,7.9,24.1
26,5796,relevant,9,non_answer,,positive,1.0,0.5,7,7,0.9500000000000001,0.96,0.92,0.01,0,0.044104768,0.0017433356000000001,0.001744857,0.2083333333,0.24036075810000002,0.27491164020000003,0.0,8.7816784463,1e-10,0.26729347270000003,0.023610910800000003,0.0,0.2410152696,0.6828244366,0.0,174.749873707,8.2395780711,172.9399791892,10.0494725889,344.9916051369,15.3329835474,341.4083592501,18.9162294342,312615.4512810995,13026.6021367125,309359.0507469214,16283.0026708906,26.4516616313,2.0604859013,26.1865401559,2.3256073766,244.84,11.16,242.3,13.7,244.84,11.16,242.3,13.7
27,5796,relevant,10,high_certainty,positive,positive,1.0,0.5,7,5,0.9500000000000001,0.74,0.8,0.21,2,0.5403494154,0.2002503593,0.2234565494,0.8502024291,0.9999998399000001,15.6476538033,3.3894123651,12.6557513317,16.2433441913,0.9778593128,0.9531132227,0.928994689,0.9999998476,0.8088844261,0.9439976401,37.2614114782,13.7404959248,172.9399791892,10.0494725889,60.004547826,21.7313276145,341.4083592501,18.9162294342,8939.744308908,3141.639892319,309359.0507469214,16283.0026708906,8.5989144725,3.6698888687,26.1865401559,2.3256073766,46.88,17.12,242.3,13.7,46.88,17.12,242.3,13.7
28,5796,relevant,11,low_certainty,positive,neutral,1.0,0.5,7,5,0.9400000000000001,0.49,0.81,0.45,2,0.6722665226,0.5025391886,0.6982384966,0.9386733417,1.0,48.0868700646,3.5176557426,12.6557513317,16.2433441914,0.9912663118,0.9999296266000001,0.9357567148,1.0,0.8088844261,0.9439976401,25.0109346275,25.9909727755,171.1300846714,11.8593671067,40.0705789658,41.6652964747,337.8251133632,22.4994753211,5919.8982586012,6161.4859426258,306102.6502127433,19539.4032050687,6.0317136372,6.237089704,25.9214186806,2.590728852,31.38,32.62,239.76,16.24,31.38,32.62,239.76,16.24
29,5796,relevant,12,low_certainty,positive,positive,1.0,0.5,5,5,0.5,0.5700000000000001,0.43,0.07,0,0.014184962800000001,0.014177346700000001,0.0142788053,0.24561403510000002,0.4510844637,0.5998106994,0.0097302064,7.4337337886,0.0,0.0951869727,0.1776048795,0.0075644199,0.4521158357,0.6216900430000001,0.0,28.9310872197,22.0708201833,25.5009537015,25.5009537015,46.4494490011,35.2864264394,40.8679377203,40.8679377203,6886.2489946994,5195.1352065276,6040.6921006135,6040.6921006135,6.8532179045,5.4155854367,6.1344016706,6.1344016706,36.34,27.66,32.0,32.0,36.34,27.66,32.0,32.0
30,5797,helpful,1,non_answer,,positive,1.0,0.625,6,6,0.9500000000000001,0.9500000000000001,0.0,0.0,0,0.0,0.0,0.0,-2.2204460489999999e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8761515617,5.7303237664,90.8761515617,5.7303237664,162.1335233724,9.4807117564,162.1335233724,9.4807117564,59586.1925652017,3137.0627665896,59586.1925652017,3137.0627665896,16.8680461123,1.8351603217,16.8680461123,1.8351603217,120.7,7.3,120.7,7.3,120.7,7.3,120.7,7.3
31,5797,helpful,2,low_certainty,negative,neutral,1.0,0.625,6,6,0.18,0.73,0.74,0.55,0,0.1613875905,0.6134921001,0.9506029717000001,0.9188105580000001,1.0,89.9495959549,0.1429309916,11.1417803435,1e-10,0.6795547463,0.9999977791,0.1055437288,1.0,0.7670447225,0.0,70.0627269895,26.5437483386,18.0291655591,78.577309769,124.818391644,46.7958434848,31.5305623232,140.0836728056,45787.5163922076,16935.7389395836,11290.8259597224,51432.4293720688,13.1933406968,5.5098657372,4.0065771581,14.6966292758,92.98,35.02,23.68,104.32,92.98,35.02,23.68,104.32
32,5797,helpful,4,high_certainty,negative,neutral,1.0,0.625,5,5,0.2,0.5,0.19,0.30000000000000004,0,0.2780719051,0.24275763,0.2780719051,0.75,0.9999986317,13.5019649243,0.21844295130000002,8.8885678363,1e-10,0.8592622693,0.9778057853000001,0.15672877940000002,0.9999986884000001,0.6872267461,0.0,25.5009537015,25.5009537015,10.8003814806,40.2015259224,40.8679377203,40.8679377203,16.9471750881,64.7887003524,6040.6921006135,6040.6921006135,2416.8768402454,9664.5073609816,6.1344016706,6.1344016706,3.0537606682,9.2150426729,32.0,32.0,13.4,50.6,32.0,32.0,13.4,50.6
33,5797,helpful,5,low_certainty,positive,positive,1.0,0.625,6,6,0.97,0.9400000000000001,0.61,0.03,0,0.1330530613,0.013867222600000001,0.013964270800000001,0.5154639175,0.7475408892000001,1.3765059809,0.3145932808,8.2333106436,0.0,0.6086838674,0.1740549834,0.21768641190000002,0.7486281562,0.6592461075,0.0,89.9300868084,6.6763885197,92.7682810682,3.8381942598,160.4373810211,11.1768541077,165.525808075,6.0884270539,58958.9800118838,3764.2753199075,60840.6176718375,1882.6376599537,16.7010140479,2.002192386,17.2021102409,1.501096193,119.44,8.56,123.22,4.78,119.44,8.56,123.22,4.78
34,5797,helpful,6,low_certainty,negative,negative,1.0,0.625,6,6,0.02,0.08,0.78,0.06,0,0.2607386477,0.0481282125,0.0493249303,0.7653061224000001,0.9973024996000001,5.9154296963,0.6250451967,8.9263249876,1e-10,0.8409647901,0.4910761239,0.3860043399,0.9973520709,0.6887671512,0.0,8.5685180262,88.0379573018,2.8921295066,93.7143458215,14.5691388103,157.0450963185,4.3922847026,167.2219504262,5018.7004265433,57704.554905248,1255.4251066358,61467.8302251554,2.3362565147,16.3669499192,1.3340641287000001,17.3691423053,11.08,116.92,3.52,124.48,11.08,116.92,3.52,124.48
35,5797,helpful,7,exhaustive,positive,negative,1.0,0.625,6,4,0.97,0.52,0.99,0.45,2,0.8044536782,0.5288076728000001,0.7524889303000001,0.9664948454000001,1.0,29.9087287517,1.7763460626,11.0086981946,10.6551994809,0.9965614349,0.9999665213000001,0.7499788417000001,1.0,0.7629553715,0.8490417608,13.9613510063,12.9643240058,92.7682810682,3.8381942598,20.2030278064,18.7258718213,165.525808075,6.0884270539,1210.0234540043,1117.0216498501,60840.6176718375,1882.6376599537,4.1449636156,3.9030433373999998,17.2021102409,1.501096193,16.6,15.4,123.22,4.78,16.6,15.4,123.22,4.78
36,5797,helpful,8,exhaustive,positive,neutral,1.0,0.625,7,5,0.99,0.5,1.0,0.49,2,0.9192068641000001,0.6011647538,0.9192068641000001,0.9898989899,1.0,96.4429244796,3.5178524377000002,12.673348346000001,16.2433441913,0.9984690959,0.9999965861000001,0.9357665751,1.0,0.8093236777,0.9439976401,25.5009537015,25.5009537015,180.1795572603,2.8098945178,40.8679377203,40.8679377203,355.7413427975,4.5832458868,6040.6921006135,6040.6921006135,322384.6528836339,3257.4005341781,6.1344016706,6.1344016706,27.2470260572,1.2651214753,32.0,32.0,252.46,3.54,32.0,32.0,252.46,3.54
37,5797,helpful,9,high_certainty,positive,negative,1.0,0.625,6,6,0.88,0.12,0.8,0.76,0,0.0,0.8874768758,2.1845965296,0.9814049587,1.0,188.0945057147,0.0,11.4651764937,0.0,0.0,1.0,0.0,1.0,0.7766904481,0.0,12.3527770394,84.2536982887,84.2536982887,12.3527770394,21.3537082155,150.2605269134,150.2605269134,21.3537082155,7527.550639815,55195.7046919763,55195.7046919763,7527.550639815,3.0043847721,15.6988216619,15.6988216619,3.0043847721,16.12,111.88,111.88,16.12,16.12,111.88,111.88,16.12
38,5797,helpful,11,high_certainty,positive,positive,1.0,0.625,7,6,0.99,0.91,0.97,0.08,1,0.3556766812,0.0848315297,0.08864711010000001,0.8978675645,0.9999995110000001,14.5308332256,2.6003195523000002,12.4976103616,9.8089410985,0.9185769206000001,0.7029740419,0.8685613543,0.9999995327000001,0.80489127,0.8245821668000001,87.0918925486,9.5145827795,180.1795572603,2.8098945178,155.3489539672,16.2652811616,355.7413427975,4.5832458868,57077.34235193,5645.9129798612,322384.6528836339,3257.4005341781,16.1999178549,2.5032885791,27.2470260572,1.2651214753,115.66,12.34,252.46,3.54,115.66,12.34,252.46,3.54
39,5797,helpful,12,exhaustive,negative,neutral,1.0,0.625,7,7,0.0,0.04,1.0,0.04,0,0.2422921891,0.057193005500000005,0.0588936891,1.0,0.9999999996000001,21.5519705461,0.0,10.1678576606,0.0,0.81887217,0.5535784755000001,0.0,0.9999999996000001,0.7354057657,6.661338148e-16,8.2395780711,174.749873707,1.0,181.9894517781,15.3329835474,344.9916051369,1.0,359.3245886843,13026.6021367125,312615.4512810995,1.0,325641.053417812,2.0604859013,26.4516616313,1.0,27.5121475326,11.16,244.84,1.0,255.0,11.16,244.84,1.0,255.0
40,5798,helpful,1,exhaustive,negative,neutral,1.0,0.875,6,7,0.98,0.5,0.98,0.48,1,0.8585594575000001,0.5762278954,0.8585594575000001,0.9795918367,1.0,302.6397031305,1.9231990696,12.4796043144,9.8089410986,0.9976521009,0.9999921668,0.7770504183,1.0,0.8044313479,0.8245821669000001,91.4947258891,91.4947258891,93.7143458215,2.8921295066,180.1622943421,180.1622943421,167.2219504262,4.3922847026,162821.026708906,162821.026708906,61467.8302251554,1255.4251066358,14.2560737663,14.2560737663,17.3691423053,1.3340641287000001,128.0,128.0,124.48,3.52,128.0,128.0,124.48,3.52
