,submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,sliderResponse
114,826,relevant,12,low_certainty,positive,positive,1.0,0.5,0.4
115,826,relevant,11,exhaustive,positive,neutral,1.0,0.5,1.0
116,826,relevant,7,non_answer,,negative,1.0,0.5,0.0
117,826,relevant,5,exhaustive,positive,positive,1.0,0.5,1.0
118,826,relevant,8,exhaustive,negative,negative,1.0,0.5,1.0
119,826,relevant,1,exhaustive,negative,neutral,1.0,0.5,1.0
120,827,relevant,12,high_certainty,positive,neutral,1.0,1.0,0.55
121,827,relevant,9,high_certainty,positive,positive,1.0,1.0,1.0
122,827,relevant,3,low_certainty,positive,positive,1.0,1.0,0.0
123,827,relevant,2,exhaustive,negative,neutral,1.0,1.0,1.0
124,827,relevant,8,low_certainty,negative,neutral,1.0,1.0,0.21
125,827,relevant,7,high_certainty,negative,negative,1.0,1.0,0.61
126,827,relevant,1,non_answer,,negative,1.0,1.0,0.0
127,827,relevant,11,exhaustive,positive,negative,1.0,1.0,1.0
128,827,relevant,10,low_certainty,negative,positive,1.0,1.0,0.0
129,827,relevant,6,non_answer,,positive,1.0,1.0,0.0
130,828,relevant,5,low_certainty,negative,neutral,1.0,1.0,0.73
131,828,relevant,10,non_answer,,neutral,1.0,1.0,0.04
132,828,relevant,7,high_certainty,negative,positive,1.0,1.0,0.67
133,828,relevant,12,high_certainty,negative,negative,1.0,1.0,0.78
134,828,relevant,1,high_certainty,positive,positive,1.0,1.0,0.72
135,828,relevant,9,low_certainty,positive,negative,1.0,1.0,0.23
136,828,relevant,6,exhaustive,negative,neutral,1.0,1.0,0.97
137,828,relevant,8,non_answer,,positive,1.0,1.0,0.07
138,828,relevant,3,exhaustive,negative,negative,1.0,1.0,0.91
139,828,relevant,11,exhaustive,positive,neutral,1.0,1.0,0.96
140,790,relevant,8,low_certainty,negative,negative,0.0,0.0,0.36
141,790,relevant,6,non_answer,,positive,0.0,0.0,0.9
142,790,relevant,10,non_answer,,neutral,0.0,0.0,0.23
143,790,relevant,11,exhaustive,negative,negative,0.0,0.0,0.84
144,790,relevant,2,high_certainty,negative,positive,0.0,0.0,0.83
145,790,relevant,5,high_certainty,negative,neutral,0.0,0.0,0.23
146,790,relevant,3,exhaustive,positive,neutral,0.0,0.0,0.8
147,790,relevant,9,low_certainty,positive,negative,0.0,0.0,0.26
148,790,relevant,1,high_certainty,positive,positive,0.0,0.0,0.81
149,790,relevant,7,high_certainty,positive,negative,0.0,0.0,0.75
150,830,relevant,5,exhaustive,negative,positive,1.0,0.0,1.0
151,830,relevant,10,exhaustive,positive,negative,1.0,0.0,0.97
152,830,relevant,6,non_answer,,neutral,1.0,0.0,0.04
153,830,relevant,8,non_answer,,positive,1.0,0.0,0.0
154,830,relevant,4,exhaustive,negative,negative,1.0,0.0,0.8
155,830,relevant,2,high_certainty,positive,neutral,1.0,0.0,0.73
156,830,relevant,1,exhaustive,positive,negative,1.0,0.0,0.83
157,830,relevant,3,low_certainty,positive,neutral,1.0,0.0,0.1
158,830,relevant,11,high_certainty,negative,positive,1.0,0.0,0.54
159,830,relevant,7,low_certainty,negative,neutral,1.0,0.0,0.54
160,791,relevant,5,exhaustive,negative,neutral,0.0,0.5,1.0
161,791,relevant,9,high_certainty,negative,positive,0.0,0.5,0.2
162,791,relevant,7,low_certainty,negative,negative,0.0,0.5,0.7
163,791,relevant,3,low_certainty,positive,positive,0.0,0.5,0.1
164,791,relevant,10,non_answer,,positive,0.0,0.5,0.0
165,791,relevant,6,exhaustive,positive,negative,0.0,0.5,1.0
166,791,relevant,12,high_certainty,positive,negative,0.0,0.5,0.35
167,791,relevant,8,exhaustive,positive,neutral,0.0,0.5,1.0
168,791,relevant,1,high_certainty,positive,neutral,0.0,0.5,0.9
169,791,relevant,4,exhaustive,negative,positive,0.0,0.5,0.95
170,798,relevant,11,non_answer,,positive,0.0,0.5,0.0
171,798,relevant,3,exhaustive,negative,neutral,0.0,0.5,1.0
172,798,relevant,9,high_certainty,positive,neutral,0.0,0.5,1.0
173,798,relevant,5,exhaustive,positive,positive,0.0,0.5,1.0
174,798,relevant,10,exhaustive,negative,negative,0.0,0.5,1.0
175,798,relevant,2,low_certainty,positive,positive,0.0,0.5,0.6
176,798,relevant,12,low_certainty,negative,neutral,0.0,0.5,0.5
177,798,relevant,6,low_certainty,negative,negative,0.0,0.5,0.4
178,798,relevant,1,low_certainty,positive,negative,0.0,0.5,0.3
179,798,relevant,4,high_certainty,negative,negative,0.0,0.5,0.65
180,799,relevant,2,low_certainty,negative,positive,1.0,1.0,0.89
181,799,relevant,4,exhaustive,negative,negative,1.0,1.0,1.0
182,799,relevant,3,low_certainty,positive,neutral,1.0,1.0,0.03
183,799,relevant,9,non_answer,,neutral,1.0,1.0,0.08
184,799,relevant,5,exhaustive,negative,positive,1.0,1.0,1.0
185,799,relevant,10,high_certainty,negative,neutral,1.0,1.0,0.07
186,799,relevant,6,low_certainty,positive,negative,1.0,1.0,0.08
187,799,relevant,11,exhaustive,positive,positive,1.0,1.0,1.0
188,799,relevant,8,low_certainty,negative,negative,1.0,1.0,0.91
189,799,relevant,7,high_certainty,positive,negative,1.0,1.0,0.89
190,792,relevant,9,low_certainty,negative,positive,1.0,1.0,0.75
191,792,relevant,12,non_answer,,neutral,1.0,1.0,0.0
192,792,relevant,3,high_certainty,positive,negative,1.0,1.0,0.8
193,792,relevant,7,low_certainty,positive,neutral,1.0,1.0,0.45
194,792,relevant,8,low_certainty,negative,negative,1.0,1.0,0.0
195,792,relevant,10,exhaustive,positive,positive,1.0,1.0,1.0
196,792,relevant,1,non_answer,,neutral,1.0,1.0,0.0
197,792,relevant,4,high_certainty,positive,negative,1.0,1.0,0.19
198,792,relevant,6,exhaustive,negative,positive,1.0,1.0,1.0
199,792,relevant,5,high_certainty,negative,positive,1.0,1.0,1.0
200,796,relevant,1,high_certainty,positive,neutral,1.0,1.0,0.86
201,796,relevant,10,exhaustive,positive,positive,1.0,1.0,0.95
202,796,relevant,8,non_answer,,positive,1.0,1.0,0.0
203,796,relevant,12,exhaustive,positive,negative,1.0,1.0,0.63
204,796,relevant,3,high_certainty,negative,neutral,1.0,1.0,0.64
205,796,relevant,6,low_certainty,positive,negative,1.0,1.0,0.18
206,796,relevant,2,high_certainty,negative,positive,1.0,1.0,0.75
207,796,relevant,4,high_certainty,positive,neutral,1.0,1.0,0.39
208,796,relevant,5,low_certainty,negative,negative,1.0,1.0,0.63
209,796,relevant,11,exhaustive,negative,negative,1.0,1.0,0.92
210,803,relevant,10,low_certainty,positive,negative,1.0,0.0,0.45
211,803,relevant,5,high_certainty,negative,negative,1.0,0.0,0.55
212,803,relevant,3,high_certainty,positive,positive,1.0,0.0,0.7
213,803,relevant,6,exhaustive,positive,neutral,1.0,0.0,1.0
214,803,relevant,4,non_answer,,neutral,1.0,0.0,0.05
215,803,relevant,2,exhaustive,negative,negative,1.0,0.0,0.9
216,803,relevant,11,low_certainty,negative,neutral,1.0,0.0,0.6
217,803,relevant,7,non_answer,,positive,1.0,0.0,0.05
218,803,relevant,1,low_certainty,positive,positive,1.0,0.0,0.15
219,803,relevant,12,high_certainty,positive,negative,1.0,0.0,0.3
220,793,relevant,9,low_certainty,negative,negative,1.0,1.0,1.0
221,793,relevant,10,low_certainty,positive,negative,1.0,1.0,0.63
222,793,relevant,4,high_certainty,negative,positive,1.0,1.0,0.05
223,793,relevant,3,high_certainty,positive,neutral,1.0,1.0,0.54
224,793,relevant,7,exhaustive,negative,positive,1.0,1.0,0.97
225,793,relevant,5,low_certainty,positive,positive,1.0,1.0,0.14
226,793,relevant,2,non_answer,,neutral,1.0,1.0,0.03
227,793,relevant,8,high_certainty,positive,neutral,1.0,1.0,0.56
228,793,relevant,1,low_certainty,negative,negative,1.0,1.0,0.0
229,793,relevant,12,exhaustive,positive,positive,1.0,1.0,1.0
230,795,relevant,11,exhaustive,negative,positive,1.0,1.0,0.9
231,795,relevant,7,high_certainty,positive,neutral,1.0,1.0,0.7
232,795,relevant,5,low_certainty,negative,positive,1.0,1.0,0.4
233,795,relevant,8,low_certainty,positive,negative,1.0,1.0,0.3
234,795,relevant,12,low_certainty,positive,neutral,1.0,1.0,0.1
235,795,relevant,4,low_certainty,negative,negative,1.0,1.0,0.3
236,795,relevant,10,high_certainty,negative,negative,1.0,1.0,0.1
237,795,relevant,1,high_certainty,negative,positive,1.0,1.0,0.35
238,795,relevant,3,non_answer,,neutral,1.0,1.0,0.0
239,795,relevant,9,exhaustive,positive,positive,1.0,1.0,0.9
240,807,relevant,2,high_certainty,negative,neutral,1.0,0.5,0.4
241,807,relevant,6,non_answer,,neutral,1.0,0.5,0.0
242,807,relevant,10,exhaustive,negative,negative,1.0,0.5,0.97
243,807,relevant,4,low_certainty,positive,negative,1.0,0.5,0.06
244,807,relevant,12,low_certainty,negative,neutral,1.0,0.5,0.31
245,807,relevant,8,exhaustive,positive,negative,1.0,0.5,0.95
246,807,relevant,9,low_certainty,negative,positive,1.0,0.5,0.66
247,807,relevant,1,low_certainty,positive,positive,1.0,0.5,0.66
248,807,relevant,7,high_certainty,positive,positive,1.0,0.5,0.59
249,807,relevant,3,high_certainty,negative,negative,1.0,0.5,0.65
250,794,relevant,8,exhaustive,negative,neutral,1.0,0.5,1.0
251,794,relevant,3,low_certainty,positive,positive,1.0,0.5,0.03
252,794,relevant,12,high_certainty,positive,positive,1.0,0.5,0.64
253,794,relevant,10,exhaustive,positive,negative,1.0,0.5,0.91
254,794,relevant,7,high_certainty,positive,positive,1.0,0.5,0.85
255,794,relevant,11,high_certainty,negative,negative,1.0,0.5,0.71
256,794,relevant,5,non_answer,,negative,1.0,0.5,0.07
257,794,relevant,4,low_certainty,negative,neutral,1.0,0.5,0.24
258,794,relevant,1,low_certainty,negative,neutral,1.0,0.5,0.24
259,794,relevant,9,exhaustive,positive,negative,1.0,0.5,1.0
260,802,relevant,9,low_certainty,positive,positive,0.5,0.5,0.25
261,802,relevant,1,exhaustive,positive,positive,0.5,0.5,1.0
262,802,relevant,7,low_certainty,negative,neutral,0.5,0.5,0.71
263,802,relevant,2,high_certainty,positive,negative,0.5,0.5,0.71
264,802,relevant,8,non_answer,,negative,0.5,0.5,0.0
265,802,relevant,4,exhaustive,negative,neutral,0.5,0.5,0.0
266,802,relevant,5,high_certainty,negative,neutral,0.5,0.5,0.26
267,802,relevant,3,high_certainty,positive,negative,0.5,0.5,0.69
268,802,relevant,12,high_certainty,negative,positive,0.5,0.5,0.62
269,802,relevant,6,exhaustive,positive,negative,0.5,0.5,1.0
270,809,relevant,12,high_certainty,negative,positive,1.0,1.0,0.9
271,809,relevant,10,low_certainty,positive,negative,1.0,1.0,0.65
272,809,relevant,2,non_answer,,negative,1.0,1.0,0.0
273,809,relevant,8,high_certainty,positive,neutral,1.0,1.0,0.5
274,809,relevant,6,low_certainty,negative,negative,1.0,1.0,0.0
275,809,relevant,5,exhaustive,negative,positive,1.0,1.0,1.0
276,809,relevant,3,exhaustive,negative,positive,1.0,1.0,1.0
277,809,relevant,11,exhaustive,positive,neutral,1.0,1.0,1.0
278,809,relevant,1,high_certainty,negative,neutral,1.0,1.0,0.5
279,809,relevant,7,low_certainty,negative,positive,1.0,1.0,0.1
280,797,relevant,5,high_certainty,positive,positive,1.0,0.5,0.6
281,797,relevant,6,high_certainty,positive,negative,1.0,0.5,0.47
282,797,relevant,1,low_certainty,positive,positive,1.0,0.5,0.07
283,797,relevant,8,exhaustive,positive,neutral,1.0,0.5,1.0
284,797,relevant,10,low_certainty,negative,negative,1.0,0.5,0.43
285,797,relevant,3,low_certainty,positive,neutral,1.0,0.5,0.0
286,797,relevant,7,exhaustive,negative,negative,1.0,0.5,1.0
287,797,relevant,2,exhaustive,positive,positive,1.0,0.5,1.0
288,797,relevant,12,high_certainty,negative,neutral,1.0,0.5,0.92
289,797,relevant,4,non_answer,,neutral,1.0,0.5,0.0
290,831,relevant,7,exhaustive,positive,positive,1.0,0.5,0.57
291,831,relevant,1,high_certainty,negative,positive,1.0,0.5,0.33
292,831,relevant,4,low_certainty,negative,neutral,1.0,0.5,0.1
293,831,relevant,3,low_certainty,positive,positive,1.0,0.5,0.05
294,831,relevant,5,low_certainty,positive,negative,1.0,0.5,0.36
295,831,relevant,8,high_certainty,positive,negative,1.0,0.5,0.52
296,831,relevant,12,exhaustive,negative,neutral,1.0,0.5,0.89
297,831,relevant,2,high_certainty,positive,neutral,1.0,0.5,0.46
298,831,relevant,9,low_certainty,negative,negative,1.0,0.5,0.46
299,831,relevant,11,non_answer,,positive,1.0,0.5,0.14
300,834,relevant,11,high_certainty,positive,neutral,0.0,1.0,0.6
301,834,relevant,1,low_certainty,positive,positive,0.0,1.0,0.4
302,834,relevant,10,low_certainty,negative,positive,0.0,1.0,0.2
303,834,relevant,4,high_certainty,negative,positive,0.0,1.0,0.0
304,834,relevant,12,non_answer,,negative,0.0,1.0,0.0
305,834,relevant,7,exhaustive,positive,negative,0.0,1.0,1.0
306,834,relevant,9,high_certainty,negative,neutral,0.0,1.0,0.35
307,834,relevant,8,high_certainty,positive,negative,0.0,1.0,0.7
308,834,relevant,5,exhaustive,negative,neutral,0.0,1.0,1.0
309,834,relevant,3,exhaustive,positive,negative,0.0,1.0,1.0
310,800,relevant,1,high_certainty,positive,positive,0.5,0.0,0.29
311,800,relevant,3,high_certainty,negative,negative,0.5,0.0,0.76
312,800,relevant,9,exhaustive,negative,positive,0.5,0.0,0.95
313,800,relevant,7,non_answer,,neutral,0.5,0.0,0.01
314,800,relevant,2,high_certainty,positive,neutral,0.5,0.0,0.62
315,800,relevant,11,low_certainty,negative,negative,0.5,0.0,0.73
316,800,relevant,6,high_certainty,negative,neutral,0.5,0.0,0.09
317,800,relevant,8,exhaustive,positive,positive,0.5,0.0,0.77
318,800,relevant,5,exhaustive,negative,negative,0.5,0.0,0.81
319,800,relevant,10,low_certainty,positive,neutral,0.5,0.0,0.74
320,812,relevant,4,high_certainty,negative,negative,1.0,0.5,0.66
321,812,relevant,12,exhaustive,negative,negative,1.0,0.5,1.0
322,812,relevant,3,low_certainty,positive,positive,1.0,0.5,0.07
323,812,relevant,1,high_certainty,positive,positive,1.0,0.5,0.85
324,812,relevant,6,low_certainty,positive,negative,1.0,0.5,0.66
325,812,relevant,2,exhaustive,negative,neutral,1.0,0.5,1.0
326,812,relevant,5,exhaustive,positive,neutral,1.0,0.5,1.0
327,812,relevant,10,low_certainty,negative,neutral,1.0,0.5,0.51
328,812,relevant,11,low_certainty,negative,positive,1.0,0.5,0.8
329,812,relevant,7,non_answer,,positive,1.0,0.5,0.0
330,832,relevant,3,low_certainty,positive,positive,1.0,0.0,0.1
331,832,relevant,4,low_certainty,negative,positive,1.0,0.0,0.3
332,832,relevant,8,non_answer,,negative,1.0,0.0,0.0
333,832,relevant,6,exhaustive,positive,negative,1.0,0.0,1.0
334,832,relevant,11,exhaustive,positive,neutral,1.0,0.0,1.0
335,832,relevant,7,exhaustive,negative,neutral,1.0,0.0,1.0
336,832,relevant,10,high_certainty,positive,neutral,1.0,0.0,0.35
337,832,relevant,1,high_certainty,negative,positive,1.0,0.0,0.36
338,832,relevant,9,high_certainty,positive,negative,1.0,0.0,1.0
339,832,relevant,5,low_certainty,positive,negative,1.0,0.0,0.85
340,801,relevant,5,high_certainty,negative,negative,0.0,0.5,0.75
341,801,relevant,8,non_answer,,neutral,0.0,0.5,0.05
342,801,relevant,10,exhaustive,negative,neutral,0.0,0.5,0.9
343,801,relevant,2,exhaustive,positive,negative,0.0,0.5,1.0
344,801,relevant,12,low_certainty,negative,neutral,0.0,0.5,0.5
345,801,relevant,1,low_certainty,positive,positive,0.0,0.5,0.7
346,801,relevant,4,high_certainty,positive,positive,0.0,0.5,0.75
347,801,relevant,9,exhaustive,positive,negative,0.0,0.5,0.95
348,801,relevant,7,low_certainty,positive,positive,0.0,0.5,0.7
349,801,relevant,6,high_certainty,negative,negative,0.0,0.5,0.8
350,833,relevant,9,exhaustive,negative,negative,1.0,1.0,0.83
351,833,relevant,3,exhaustive,positive,neutral,1.0,1.0,1.0
352,833,relevant,11,low_certainty,positive,negative,1.0,1.0,0.53
353,833,relevant,1,low_certainty,negative,negative,1.0,1.0,0.27
354,833,relevant,5,high_certainty,positive,positive,1.0,1.0,0.9
355,833,relevant,6,low_certainty,negative,neutral,1.0,1.0,0.31
356,833,relevant,10,exhaustive,positive,neutral,1.0,1.0,0.66
357,833,relevant,2,exhaustive,negative,positive,1.0,1.0,1.0
358,833,relevant,4,non_answer,,positive,1.0,1.0,0.0
359,833,relevant,7,high_certainty,negative,negative,1.0,1.0,0.0
360,836,relevant,6,high_certainty,positive,positive,1.0,0.5,0.6
361,836,relevant,11,exhaustive,positive,positive,1.0,0.5,1.0
362,836,relevant,4,low_certainty,positive,neutral,1.0,0.5,0.2
363,836,relevant,9,high_certainty,positive,negative,1.0,0.5,0.7
364,836,relevant,10,exhaustive,negative,negative,1.0,0.5,1.0
365,836,relevant,7,non_answer,,neutral,1.0,0.5,0.03
366,836,relevant,3,high_certainty,negative,positive,1.0,0.5,0.6
367,836,relevant,5,exhaustive,positive,neutral,1.0,0.5,1.0
368,836,relevant,1,exhaustive,negative,negative,1.0,0.5,0.98
369,836,relevant,12,low_certainty,negative,positive,1.0,0.5,0.55
370,837,relevant,2,low_certainty,positive,negative,1.0,1.0,0.66
371,837,relevant,6,exhaustive,negative,positive,1.0,1.0,1.0
372,837,relevant,7,high_certainty,positive,negative,1.0,1.0,0.87
373,837,relevant,4,high_certainty,negative,neutral,1.0,1.0,0.74
374,837,relevant,8,non_answer,,neutral,1.0,1.0,0.22
375,837,relevant,12,low_certainty,negative,positive,1.0,1.0,0.8
376,837,relevant,9,high_certainty,positive,neutral,1.0,1.0,0.97
377,837,relevant,5,exhaustive,negative,positive,1.0,1.0,0.98
378,837,relevant,1,exhaustive,positive,negative,1.0,1.0,1.0
379,837,relevant,3,high_certainty,negative,positive,1.0,1.0,0.8
380,838,relevant,9,low_certainty,negative,neutral,1.0,0.0,0.63
381,838,relevant,6,low_certainty,positive,negative,1.0,0.0,0.39
382,838,relevant,10,exhaustive,positive,neutral,1.0,0.0,1.0
383,838,relevant,11,high_certainty,positive,positive,1.0,0.0,0.78
384,838,relevant,8,high_certainty,positive,positive,1.0,0.0,0.8
385,838,relevant,2,exhaustive,negative,neutral,1.0,0.0,0.97
386,838,relevant,4,non_answer,,negative,1.0,0.0,0.0
387,838,relevant,5,high_certainty,negative,positive,1.0,0.0,0.38
388,838,relevant,3,low_certainty,negative,negative,1.0,0.0,0.55
389,838,relevant,7,low_certainty,positive,neutral,1.0,0.0,0.59
390,847,relevant,12,low_certainty,negative,negative,1.0,1.0,0.6
391,847,relevant,4,high_certainty,positive,negative,1.0,1.0,0.1
392,847,relevant,6,high_certainty,negative,positive,1.0,1.0,0.75
393,847,relevant,8,exhaustive,positive,neutral,1.0,1.0,1.0
394,847,relevant,9,exhaustive,negative,neutral,1.0,1.0,1.0
395,847,relevant,7,low_certainty,positive,positive,1.0,1.0,0.05
396,847,relevant,3,exhaustive,positive,neutral,1.0,1.0,1.0
397,847,relevant,1,high_certainty,positive,positive,1.0,1.0,0.7
398,847,relevant,10,high_certainty,negative,negative,1.0,1.0,0.05
399,847,relevant,5,non_answer,,negative,1.0,1.0,0.0
400,804,relevant,12,low_certainty,negative,neutral,1.0,0.5,0.7
401,804,relevant,7,low_certainty,positive,neutral,1.0,0.5,0.4
402,804,relevant,3,high_certainty,positive,positive,1.0,0.5,0.75
403,804,relevant,9,exhaustive,positive,negative,1.0,0.5,0.9
404,804,relevant,6,non_answer,,positive,1.0,0.5,0.0
405,804,relevant,11,high_certainty,negative,neutral,1.0,0.5,0.65
406,804,relevant,8,low_certainty,positive,positive,1.0,0.5,0.6
407,804,relevant,4,exhaustive,negative,negative,1.0,0.5,1.0
408,804,relevant,10,high_certainty,negative,negative,1.0,0.5,0.0
